## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	126819	410189249	2310254	518875	73650	76797776	56912579	0.187286	3019225352

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	optical_sets	non_optical_sets
222.0	0	1	0	1
224.0	0	1	0	1
225.0	0	1	0	1
226.0	0	2	0	3
227.0	0	1	1	1
228.0	0	3	0	2
229.0	0	1	0	1
230.0	0	2	0	2
231.0	0	1	0	1
232.0	0	1	0	1
236.0	0	0	0	1
237.0	0	3	0	2
238.0	0	2	0	2
239.0	0	1	0	1
240.0	0	0	0	1
241.0	0	1	0	0
242.0	0	2	0	2
243.0	0	4	0	4
244.0	0	1	0	1
245.0	0	2	0	2
247.0	0	1	0	1
248.0	0	2	0	2
249.0	0	1	0	1
250.0	0	0	0	1
251.0	0	2	0	2
252.0	0	1	0	0
253.0	0	1	0	1
254.0	0	2	0	2
257.0	0	1	0	1
258.0	0	1	0	1
259.0	0	1	0	1
262.0	0	0	0	1
263.0	0	1	0	1
264.0	0	3	0	3
265.0	0	2	0	1
266.0	0	2	0	2
267.0	0	3	0	3
268.0	0	2	0	2
269.0	0	1	0	1
270.0	0	2	0	2
271.0	0	1	0	1
272.0	0	1	0	1
273.0	0	1	0	1
274.0	0	4	0	4
275.0	0	1	0	1
276.0	0	0	0	1
277.0	0	3	0	2
279.0	0	3	0	3
282.0	0	1	0	2
283.0	0	2	0	3
284.0	0	3	0	1
285.0	0	2	0	2
287.0	0	1	0	1
288.0	0	1	0	1
290.0	0	1	0	1
292.0	0	1	0	1
294.0	0	1	0	1
295.0	0	2	0	2
296.0	0	1	0	1
299.0	0	1	0	1
300.0	0	1	0	1
302.0	0	2	0	2
304.0	0	3	0	3
305.0	0	2	0	2
306.0	0	1	0	1
311.0	0	1	0	1
312.0	0	1	0	1
315.0	0	1	0	1
316.0	0	1	0	1
317.0	0	2	0	2
318.0	0	1	0	2
319.0	0	2	0	1
320.0	0	2	0	2
325.0	0	1	0	1
326.0	0	1	0	1
328.0	0	1	0	1
329.0	0	1	0	1
330.0	0	1	0	1
331.0	0	1	0	1
332.0	0	1	0	1
336.0	0	2	0	2
340.0	0	1	0	1
342.0	0	1	0	1
344.0	0	1	0	1
